"PropId","Name","Price","Rate","property","carpet.area","status","floor","transaction","facing","overlooking","ownership","parking","bathroom","balcony","city","location","Rate_per_sqft","bedroom","carpet_area_sqft","total_area"
"22","4 BHK Flat for Sale in Hauz Khas, New Delhi",54900000,"₹31371 per sqft ","","2000 sqft","Poss. by Jan '27","Ground out of 4","New Property","North - East","Garden/Park","Freehold","5 Open",4,NA,"Delhi"," Hauz Khas",31371,4,2000,1750.02390743043
"23","3 BHK Flat for Sale in Ashiana Amarah, Sector 93, Gurgaon",13500000,"₹7297 per sqft ","","1410 sqft","Ready to Move","1 out of 4","New Property","West","Main Road","Freehold","3 Covered",3,2,"Gurgaon"," Ashiana Amarah",7297,3,1410,1850.07537344114
"24","> 10 BHK House for Sale in Suncity Township, Suncity, Sector 54, DLF Golf Course Road Gurgaon",25000000,"₹42735 per sqft ","","","Ready to Move","3 out of 4","Resale","North - East","Garden/Park","Freehold","2 Covered",10,2,"Gurgaon"," Suncity Township",42735,10,NA,585.000585000585
"25","4 BHK Flat for Sale in South City 1, Sector 41, Gurgaon",41900000,"₹11971 per sqft ","","","Ready to Move","4 out of 4","New Property","South","Garden/Park","Freehold","2 Covered",5,2,"Gurgaon"," South City 1",11971,4,NA,3500.12530281514
"26","4 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",26000000,"₹11818 per sqft ","","","Ready to Move","2 out of 4","New Property","North - East","Garden/Park, Main Road","Freehold","2 Covered",4,2,"Gurgaon"," Uppal Southend",11818,4,NA,2200.03384667456
"27","3 BHK Flat for Sale in Sushant Lok 3, Sector 57, Gurgaon",19000000,"₹11176 per sqft ","","","Ready to Move","4 out of 4","New Property","East","Main Road","Freehold","1 Covered,",3,3,"Gurgaon"," Sushant Lok 3",11176,3,NA,1700.07158196135
"28","4 BHK Flat for Sale in Luxurious Builder Floor, Sushant Lok 2, Gurgaon",26000000,"₹10833 per sqft ","","","Ready to Move","4 out of 14","New Property","","Garden/Park, Pool, Main Road","Freehold","",4,4,"Gurgaon"," Luxurious Builder Floor",10833,4,NA,2400.07384842611
"29","3 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",20500000,"₹9762 per sqft ","","","Ready to Move","","New Property","","","","",3,NA,"Gurgaon"," Uppal Southend",9762,3,NA,2099.979512395
"30","3 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",17200000,"₹8536 per sqft ","","","","","Resale","","","","",3,NA,"Gurgaon"," Bestech Altura",8536,3,NA,2014.99531396439
"31","3 BHK Flat for Sale in Antriksh Grand View, Sector 150, Pusta Road, Noida",18500000,"₹8222 per sqft ","C K Realty","1350 sqft","Ready to Move","9 out of 19","New Property","North - East","Garden/Park, Pool, Main Road","Leasehold","1 Covered",4,6,"Noida"," Antriksh Grand View",8222,3,1350,2250.06081245439
"32","3 BHK Flat for Sale in Kishangarh, Vasant Kunj, New Delhi",8500000,"₹6538 per sqft ","Nandi Realtors","240 sqft","Ready to Move","3 out of 5","New Property","East","Garden/Park, Main Road","Freehold","2 Covered,",3,1,"Delhi"," Kishangarh",6538,3,240,1300.09177118385
"33","3 BHK Flat for Sale in Vatika Sovereign Park, Sector 99, Gurgaon",29100000,"₹10500 per sqft ","Shikhar Realty Services Pvt. Ltd.","2450 sqft","Poss. by Apr '24","5 out of 12","New Property","South - East","Garden/Park, Pool, Main Road","Freehold","2 Open",4,3,"Gurgaon"," Vatika Sovereign Park",10500,3,2450,2771.42857142857
"34","3 BHK House for Sale in Sector 45 Block A Gurgaon",21000000,"₹15556 per sqft ","A N Builders & Promoters","789 sqft","Ready to Move","1 out of 3","Resale","East","Garden/Park, Main Road","Freehold","1 Covered",3,2,"Gurgaon"," Sector 45 Block A Gurgaon",15556,3,789,1349.96142967344
"35","3 BHK Flat for Sale in Paramount Emotions, Noida Extension, Noida",7700000,"₹5580 per sqft ","Piyush Ahuja","750 sqft","Ready to Move","1 out of 19","Resale","North - East","Main Road","Leasehold","1 Covered",2,5,"Noida"," Paramount Emotions",5580,3,750,1379.92831541219
"36","3 BHK Villa for Sale in DLF City Phase 1, DLF City Phase 1 Gurgaon",60000000,"₹21429 per sqft ","Infinity Investments","1350 sqft","Ready to Move","7 out of 20","Resale","North - West","Main Road","Freehold","1 Covered,",3,3,"Gurgaon"," DLF City Phase 1",21429,3,1350,2799.94400111998
"37","3 BHK Flat for Sale in Capital Athena, Sector 1 Greater Noida West, Greater Noida",10600000,"₹8218 per sqft ","Bhoomi Zone","1550 sqft","Ready to Move","2 out of 4","New Property","North - East","Pool, Garden/Park","Freehold","1 Covered",3,3,"Noida"," Capital Athena",8218,3,1550,1289.85154538817
"38","2 BHK Flat for Sale in Smart World Orchard, Sector 61, Gurgaon",16600000,"₹14500 per sqft ","AR Realtors ","163 sqyrd","Poss. by Jan '24","1 out of 14","New Property","North - East","Garden/Park, Pool, Main Road","Leasehold","2 Covered,",2,2,"Gurgaon"," Smart World Orchard",14500,2,163,1144.8275862069
"39","3 BHK Flat for Sale in Emaar Emerald Estate, Sector 65, Gurgaon",17500000,"₹11667 per sqft ","Shokeen Estates","2048 sqft","Ready to Move","1 out of 4","Resale","North - East","Garden/Park, Pool, Main Road","Freehold","1 Covered",3,3,"Gurgaon"," Emaar Emerald Estate",11667,3,2048,1499.9571440816
"40","4 BHK Flat for Sale in RWA Sector 57, Sector 57 Block G, Golf Course Extension Road, Gurgaon",20000000,"₹7407 per sqft ","Maakriti Realtors Private Limited","1100 sqft","Ready to Move","10 out of 14","Resale","North - East","Garden/Park, Main Road","Freehold","5 Open",3,3,"Gurgaon"," RWA Sector 57",7407,4,1100,2700.14850816795
"41","4 BHK Flat for Sale in Corona Optus, Sector 37C, Delhi Gurgaon Expressway, Gurgaon",17500000,"₹6331 per sqft ","Arun Singhal","2200 sqft","Ready to Move","2 out of 3","Resale","East","Garden/Park, Pool, Main Road","Freehold","1 Covered",6,4,"Gurgaon"," Corona Optus",6331,4,2200,2764.17627546991
"42","5 BHK House for Sale in Sector 28 Gurgaon",41000000,"₹7178 per sqft ","Shree Home Solution","3469 sqft","Ready to Move","15 out of 17","Resale","East","Garden/Park, Main Road","Freehold","1 Open",3,3,"Gurgaon"," Sector 28 Gurgaon",7178,5,3469,5711.89746447478
"43","3 BHK Flat for Sale in Siddhartha Vihar, NH 24, Ghaziabad",14700000,"₹3928 per sqft ","Space & Services Venture (Regd.)","1500 sqft","Poss. by Mar '26","1 out of 4","New Property","East","Garden/Park, Pool, Main Road","Freehold","2 Covered,",3,5,"Ghaziabad"," Siddhartha Vihar",3928,3,1500,3742.36252545825
"44","2 BHK Flat for Sale in RPS Savana, Sector 88, Faridabad",5000000,"₹6029 per sqft ","Grow Up Investors","1750 sqft","Ready to Move","3 out of 4","Resale","East","Main Road","Freehold","2 Covered,",2,2,"Faridabad"," RPS Savana",6029,2,1750,829.324929507381
"45","5 BHK Flat for Sale in Rajendra Nagar, Ghaziabad",20500000,"₹10331 per sqft ","Happy Homez","2300 sqft","Ready to Move","19 out of 28","New Property","North - East","Garden/Park","Freehold","1 Covered,",4,4,"Ghaziabad"," Rajendra Nagar",10331,5,2300,1984.31903978318
"46","4 BHK Flat for Sale in All Punjabi Welfare Association, Sector 23, Gurgaon",26500000,"₹17584 per sqft ","Anantham Infra Pvt Ltd","1593 sqft","Ready to Move","4 out of 20","New Property","North - East","Garden/Park, Main Road","Freehold","1 Open",4,2,"Gurgaon"," All Punjabi Welfare Association",17584,4,1593,1507.05186533212
"47","3 BHK Flat for Sale in M3M Golf Estate, Sector 65, Gurgaon",61000000,"₹7035 per sqft ","Shiv Shakti Properties","360 sqft","Ready to Move","4 out of 7","Resale","East","Garden/Park, Pool, Main Road","Freehold","2 Covered,",4,3,"Gurgaon"," M3M Golf Estate",7035,3,360,8670.93105899076
"48","3 BHK Flat for Sale in Ramprastha Primera, Garauli Khurd, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",12100000,"₹12513 per sqft ","Happy Homes Properties and Builders","1350 sqft","Ready to Move","2 out of 10","New Property","East","Garden/Park, Pool, Main Road","Freehold","1 Covered",2,3,"Gurgaon"," Ramprastha Primera",12513,3,1350,966.994325901063
"49","3 BHK Flat for Sale in Kesarwani Apartment, Dwarka Sector 5, New Delhi",24400000,"₹15400 per sqft ","Unistar Estates Pvt. Ltd.","1500 sqft","Ready to Move","1 out of 4","Resale","North - West","Garden/Park","Freehold","1 Covered,",3,5,"Delhi"," Kesarwani Apartment",15400,3,1500,1584.41558441558
