"PropId","Name","Price","Rate","property","carpet.area","status","floor","transaction","facing","overlooking","ownership","parking","bathroom","balcony","city","location","Rate_per_sqft","bedroom","carpet_area_sqft","total_area"
"296","3 BHK Flat for Sale in Spring Elmas, Greater Noida West, Greater Noida",9500000,"₹8202 per sqft ","","","Ready to Move","","New Property","","","","",3,NA,"Noida"," Spring Elmas",8202,3,NA,1158.25408436967
"297","4 BHK Flat for Sale in CRC Joyous, Techzone 4, Greater Noida",14600000,"₹13182 per sqft ","","","Ready to Move","","New Property","","","","",4,NA,"Noida"," CRC Joyous",13182,4,NA,1107.57093005614
"298","2 BHK Flat for Sale in DDA Dhruva Apartments, Indraprastha Extension, Patparganj, New Delhi",14500000,"₹6403 per sqft ","","","Ready to Move","","Resale","","","","",2,NA,"Delhi"," DDA Dhruva Apartments",6403,2,NA,2264.563485866
"299","3 BHK Flat for Sale in Vasundhara Sector 9, Ghaziabad",9290000,"₹50000 per sqft ","","","","","New Property","","","","",2,NA,"Ghaziabad"," Vasundhara Sector 9",50000,3,NA,185.8
"300","9 BHK Villa for Sale in Paschim Vihar Block B5 New Delhi",90000000,"","","","","","Resale","","","","",9,NA,"Delhi"," Paschim Vihar Block B5 New Delhi",NA,9,NA,NA
"301","3 BHK Flat for Sale in Masjid Moth, Greater Kailash, New Delhi",57500000,"₹23663 per sqft ","Tanishq Property","1358 sqft","Ready to Move","1 out of 4","New Property","North","Garden/Park","Freehold","2 Covered",3,2,"Delhi"," Masjid Moth",23663,3,1358,2429.95393652538
"303","3 BHK Flat for Sale in SRS Pearl, Sector 87, Faridabad",7000000,"₹4082 per sqft ","Suraj Builders (Suraj Jaiswal Buildup Pvt. Ltd.)","780 sqft","Ready to Move","4 out of 14","Resale","North - East","Garden/Park, Pool","Freehold","1 Covered",3,3,"Faridabad"," SRS Pearl",4082,3,780,1714.84566389025
"304","4 BHK House for Sale in Mujesar Village, Sector 24, Mathura Road Faridabad",6200000,"₹6889 per sqft ","Rajan Raheja","850 sqft","Ready to Move","3 out of 4","Resale","East","Garden/Park, Main Road","Freehold","1 Covered,",2,4,"Faridabad"," Mujesar Village",6889,4,850,899.985484105095
"307","3 BHK Flat for Sale in Whiteland Blissville, Sector 76, Delhi Gurgaon Expressway, Gurgaon",17600000,"₹10526 per sqft ","","1826 sqft","Ready to Move","3 out of 14","Resale","North - East","Garden/Park, Main Road","Freehold","1 Covered",3,3,"Gurgaon"," Whiteland Blissville",10526,3,1826,1672.05016150485
"308","5 BHK House for Sale in Omex Green Valley, Sector 42, Mathura Road Faridabad",19500000,"₹17473 per sqft ","","745 sqft","Ready to Move","2 out of 4","Resale","North - East","Garden/Park, Pool, Main Road","Leasehold","1 Covered,",6,4,"Faridabad"," Omex Green Valley",17473,5,745,1116.00755451268
"309","3 BHK Flat for Sale in Paras Dews, Sector 106, Gurgaon",13500000,"₹7105 per sqft ","","1550 sqft","Ready to Move","12 out of 32","Resale","East","Garden/Park, Pool, Main Road","Freehold","1 Covered,",3,4,"Gurgaon"," Paras Dews",7105,3,1550,1900.07037297678
"310","3 BHK Flat for Sale in Uttam Nagar, New Delhi",4000000,"₹5000 per sqft ","","1300 sqft","Ready to Move","1 out of 2","New Property","East","Main Road","Freehold","1 Covered",2,3,"Delhi"," Uttam Nagar",5000,3,1300,800
"311","2 BHK Flat for Sale in Malibu Town, Sector 47, Gurgaon",8800000,"₹8826 per sqft ","","3600 sqft","Poss. by Jun '24","8 out of 15","Resale","East","Garden/Park","Freehold","1 Covered,",2,3,"Gurgaon"," Malibu Town",8826,2,3600,997.054158169046
"312","3 BHK Flat for Sale in Era Divine Court, Sector 76, Faridabad",5000000,"₹3077 per sqft ","","2000 sqft","Ready to Move","2 out of 4","Resale","North - East","Main Road","Freehold","1 Open",2,2,"Faridabad"," Era Divine Court",3077,3,2000,1624.9593760156
"313","3 BHK Flat for Sale in Godrej Icon, Sector 88A, Gurgaon",16000000,"₹7470 per sqft ","","450 sqft","Ready to Move","2 out of 3","New Property","North - East","Garden/Park","Leasehold","2 Covered",3,2,"Gurgaon"," Godrej Icon",7470,3,450,2141.90093708166
"314","4 BHK Flat for Sale in Ansals Sushant Floors, Sector 57, Gurgaon",31000000,"₹15078 per sqft ","","","Ready to Move","4 out of 7","New Property","North - East","Main Road","Freehold","1 Open",4,1,"Gurgaon"," Ansals Sushant Floors",15078,4,NA,2055.97559358005
"315","2 BHK Flat for Sale in Supertech Ecociti, Sector 137, Noida Express Way, Noida",6200000,"₹5730 per sqft ","","","Ready to Move","1 out of 4","Resale","East","Main Road","Freehold","",2,2,"Noida"," Supertech Ecociti",5730,2,NA,1082.02443280977
"316","3 BHK Villa for Sale in Paramount Golfforeste, Zeta 1 Greater Noida",13000000,"₹5302 per sqft ","","","Poss. by Feb '25","4 out of 9","Resale","","","","",3,4,"Noida"," Paramount Golfforeste",5302,3,NA,2451.9049415315
"317","3 BHK Flat for Sale in Signature Global City 93, Sector 93, Gurgaon",13900000,"₹6987 per sqft ","","","Ready to Move","Ground out of 1","New Property","","","","",3,3,"Gurgaon"," Signature Global City 93",6987,3,NA,1989.40890224703
"318","2 BHK Flat for Sale in Krystal Homes, Greater Noida West, Greater Noida",2700000,"₹2856 per sqft ","","","Ready to Move","3 out of 5","New Property","","","","",2,1,"Noida"," Krystal Homes",2856,2,NA,945.378151260504
"319","3 BHK Flat for Sale in Paradise Apartment, Indraprastha Extension, Patparganj, New Delhi",21500000,"₹13030 per sqft ","","","Ready to Move","2 out of 4","Resale","","","","",3,1,"Delhi"," Paradise Apartment",13030,3,NA,1650.03837298542
"321","4 BHK Flat for Sale in ATS Greens Village, Sector 93A, Noida Express Way, Noida",34000000,"₹12117 per sqft ","","","Ready to Move","4 out of 4","Resale","","","","",4,NA,"Noida"," ATS Greens Village",12117,4,NA,2805.97507633903
"322","4 BHK House for Sale in DLF Phase 1 Arjun Marg, DLF City Phase 1 Gurgaon",55000000,"₹15278 per sqft ","","","Ready to Move","2 out of 30","Resale","","","","",4,NA,"Gurgaon"," DLF Phase 1 Arjun Marg",15278,4,NA,3599.94763712528
"323","4 BHK Flat for Sale in Sector 43, Gurgaon",32400000,"₹11688 per sqft ","","","Ready to Move","30 out of 36","Resale","","","","",4,NA,"Gurgaon"," Sector 43",11688,4,NA,2772.07392197125
"324","3 BHK Flat for Sale in Unitech Cedar Crest, Nirvana Country, Sector 50, Gurgaon",32000000,"₹12800 per sqft ","","","Ready to Move","","New Property","","","","",3,NA,"Gurgaon"," Unitech Cedar Crest",12800,3,NA,2500
"325","2 BHK House for Sale in Dakshinpuri New Delhi",5200000,"₹21399 per sqft ","","","Ready to Move","","Resale","","","","",1,NA,"Delhi"," Dakshinpuri New Delhi",21399,2,NA,243.002009439693
"326","1 BHK Flat for Sale in Vaishali Sector 5, Ghaziabad",2750000,"₹4935 per sqft ","","","Ready to Move","","Resale","","","","",1,NA,"Ghaziabad"," Vaishali Sector 5",4935,1,NA,557.244174265451
"327","2 BHK Flat for Sale in Ghaziabad Road, Ghaziabad",3800000,"₹7306 per sqft ","","","Ready to Move","","Resale","","","","",2,NA,"Ghaziabad"," Ghaziabad Road",7306,2,NA,520.120448946072
"329","5 BHK House for Sale in Krishna Nagar, Ghukna Ghaziabad",6000000,"₹3556 per sqft ","","","Ready to Move","","Resale","","","","",2,NA,"Ghaziabad"," Krishna Nagar",3556,5,NA,1687.28908886389
"330","2 BHK House for Sale in Saubhagya Puram, Govindpuram Ghaziabad",3200000,"","","","","","Resale","","","","",2,NA,"Ghaziabad"," Saubhagya Puram",NA,2,NA,NA
"331","1 BHK Flat for Sale in Om Apartments, Dwarka Sector 14, New Delhi",6000000,"₹10909 per sqft ","Chhillar Homes","450 sqft","Ready to Move","1 out of 3","Resale","East","Main Road","Freehold","2 Open",1,1,"Delhi"," Om Apartments",10909,1,450,550.004583371528
"332","3 BHK Flat for Sale in Hargobind Enclave, Anand Vihar, New Delhi",34000000,"₹18889 per sqft ","Veer Ji Properties","1350 sqft","Ready to Move","1 out of 4","New Property","East","Garden/Park, Main Road","Freehold","1 Covered,",3,2,"Delhi"," Hargobind Enclave",18889,3,1350,1799.98941182699
"333","3 BHK Flat for Sale in Pitampura, New Delhi",45000000,"₹20833 per sqft ","Mannat Home Estate","230 sqyrd","Ready to Move","2 out of 4","Resale","West","Garden/Park, Main Road","Freehold","1 Covered,",4,2,"Delhi"," Pitampura",20833,3,230,2160.03456055297
"334","3 BHK Flat for Sale in 11th Avenue Gaur City 2, Noida Extension, Noida",8000000,"₹5776 per sqft ","Catalyze capital Management private Limited","1060 sqft","Ready to Move","8 out of 20","Resale","North - East","Pool, Garden/Park, Main Road","Leasehold","1 Open",3,3,"Noida"," 11th Avenue Gaur City 2",5776,3,1060,1385.04155124654
"335","3 BHK Flat for Sale in Brahma Apartments, Dwarka Sector 7, New Delhi",22500000,"₹11250 per sqft ","Magic Villa ","1800 sqft","Ready to Move","2 out of 10","Resale","North - East","Garden/Park, Main Road","Freehold","2 Covered,",3,3,"Delhi"," Brahma Apartments",11250,3,1800,2000
"336","7 BHK House for Sale in Sector 51 Noida",45000000,"₹23225 per sqft ","","180 sqm","Ready to Move","Ground out of 2","Resale","North - East","Garden/Park, Main Road","Leasehold","2 Covered,",7,5,"Noida"," Sector 51 Noida",23225,7,180,1937.56727664155
"337","2 BHK Flat for Sale in Migsun Roof, Garhi, Raj Nagar Extension, Ghaziabad",2200000,"₹2699 per sqft ","","688 sqft","Ready to Move","8 out of 17","New Property","East","Garden/Park, Pool, Main Road","Freehold","1 Covered,",2,2,"Ghaziabad"," Migsun Roof",2699,2,688,815.116709892553
"338","6 BHK House for Sale in RWA Residential Society, Sector 40 Gurgaon",50000000,"₹16667 per sqft ","","2500 sqft","Ready to Move","Ground out of 2","Resale","South","Garden/Park","Freehold","2 Covered",6,4,"Gurgaon"," RWA Residential Society",16667,6,2500,2999.94000119998
"339","1 BHK Flat for Sale in DDA Sunveiw Apartments, Dwarka Sector 11, New Delhi",6000000,"₹12000 per sqft ","","480 sqft","Ready to Move","2 out of 4","Resale","North - East","Pool, Garden/Park, Main Road","Freehold","2 Open",2,2,"Delhi"," DDA Sunveiw Apartments",12000,1,480,500
"341","2 BHK Flat for Sale in Amrapali Silicon City, Sector 76, Noida",7000000,"₹5932 per sqft ","","1010 sqft","Ready to Move","2 out of 18","Resale","North - East","Garden/Park, Pool, Main Road","Leasehold","2 Covered",2,2,"Noida"," Amrapali Silicon City",5932,2,1010,1180.04045853001
"342","3 BHK Flat for Sale in Vatika Lifestyle Homes, Sector 83, Gurgaon",11000000,"₹6286 per sqft ","","1300 sqft","Ready to Move","3 out of 5","Resale","East","Main Road","Freehold","1 Covered,",2,1,"Gurgaon"," Vatika Lifestyle Homes",6286,3,1300,1749.92045816099
"343","2 BHK Flat for Sale in Sector 12 Pratap Vihar, Ghaziabad",3000000,"₹5556 per sqft ","","60 sqyrd","Ready to Move","2 out of 3","Resale","West","Main Road","Freehold","",2,1,"Ghaziabad"," Sector 12 Pratap Vihar",5556,2,60,539.956803455724
"344","3 BHK Flat for Sale in Block H, Sector 26, Mehrauli Gurgaon Road, Gurgaon",22500000,"₹12500 per sqft ","","180 sqyrd","Ready to Move","4 out of 4","New Property","North - East","Garden/Park","Freehold","",3,2,"Gurgaon"," Block H",12500,3,180,1800
"345","3 BHK Flat for Sale in Gyan Khand 4, Indirapuram, Ghaziabad",6600000,"₹4125 per sqft ","","2200 sqft","Ready to Move","1 out of 2","Resale","West","Garden/Park","Freehold","",3,2,"Ghaziabad"," Gyan Khand 4",4125,3,2200,1600
"346","4 BHK Flat for Sale in Gyan Khand 4, Indirapuram, Ghaziabad",10000000,"₹5556 per sqft ","","335 sqyrd","Ready to Move","1 out of 3","Resale","North","Garden/Park, Pool, Main Road","Freehold","",3,3,"Ghaziabad"," Gyan Khand 4",5556,4,335,1799.85601151908
"347","3 BHK Flat for Sale in Judges Enclave, Indirapuram, Ghaziabad",8400000,"₹6181 per sqft ","","2100 sqft","Ready to Move","1 out of 8","Resale","East","Garden/Park, Pool, Main Road","Freehold","",2,1,"Ghaziabad"," Judges Enclave",6181,3,2100,1359.00339750849
"348","4 BHK Flat for Sale in Madhuban Enclave, Preet Vihar, New Delhi",36500000,"₹15870 per sqft ","","1684 sqft","Ready to Move","Ground out of 4","Resale","East","Main Road","Freehold","",3,1,"Delhi"," Madhuban Enclave",15870,4,1684,2299.93698802773
"349","4 BHK Flat for Sale in Sector 63A, Gurgaon",40000000,"₹10633 per sqft ","","2025 sqft","Ready to Move","2 out of 4","New Property","East","","Freehold","",4,3,"Gurgaon"," Sector 63A",10633,4,2025,3761.87341295965
"350","4 BHK Flat for Sale in Rajouri Garden, New Delhi",45000000,"₹25000 per sqft ","","1978 sqft","Ready to Move","Ground out of 4","New Property","East","","Freehold","",4,3,"Delhi"," Rajouri Garden",25000,4,1978,1800
"351","3 BHK Flat for Sale in DDA Flats Vasant Kunj, Vasant Kunj Sector D, New Delhi",33000000,"₹15000 per sqft ","","1400 sqft","Ready to Move","Ground out of 3","Resale","North - West","","Freehold","",4,4,"Delhi"," DDA Flats Vasant Kunj",15000,3,1400,2200
"352","3 BHK Flat for Sale in M3M Crown Phase 1, Sector 111, Gurgaon",21000000,"₹9976 per sqft ","","","Poss. by Jan '26","3 out of 30","Resale","East","","Freehold","",3,2,"Gurgaon"," M3M Crown Phase 1",9976,3,NA,2105.05212510024
"353","1 BHK Flat for Sale in Sector 75, Noida",3300000,"₹5366 per sqft ","","","Ready to Move","3 out of 16","Resale","","","","",1,3,"Noida"," Sector 75",5366,1,NA,614.983227730153
"354","3 BHK Flat for Sale in Emaar Palm Heights, Sector 77, Delhi Gurgaon Expressway, Gurgaon",17100000,"₹10465 per sqft ","","","Ready to Move","1 out of 24","Resale","","","","",3,NA,"Gurgaon"," Emaar Palm Heights",10465,3,NA,1634.01815575729
"355","3 BHK Flat for Sale in Bestech Park View City 2, Sector 49 Block D, Gurgaon",22500000,"₹7200 per sqft ","","","Ready to Move","Ground out of 14","Resale","","","","",4,NA,"Gurgaon"," Bestech Park View City 2",7200,3,NA,3125
"356","3 BHK Flat for Sale in Niti Khand-Indirapuram, Indirapuram, Ghaziabad",10800000,"₹5782 per sqft ","","","Ready to Move","1 out of 3","New Property","","","","",3,NA,"Ghaziabad"," Niti Khand-Indirapuram",5782,3,NA,1867.86579038395
"357","3 BHK Flat for Sale in Nirala Greenshire, Greater Noida West, Greater Noida",8500000,"₹5854 per sqft ","","","Ready to Move","15 out of 20","Resale","","","","",2,NA,"Noida"," Nirala Greenshire",5854,3,NA,1451.99863341305
"362","3 BHK Flat for Sale in Anand Niketan, New Delhi",65000000,"₹34211 per sqft ","Asta Realty","3200 sqft","Ready to Move","Ground out of 4","Resale","East","Garden/Park, Pool, Main Road","Freehold","1 Open",4,2,"Delhi"," Anand Niketan",34211,3,3200,1899.97369267195
"364","4 BHK Flat for Sale in Malviya Nagar, New Delhi",25000000,"₹11721 per sqft ","","2100 sqft","Ready to Move","1 out of 3","Resale","North - East","Garden/Park","Leasehold","2 Covered,",4,4,"Delhi"," Malviya Nagar",11721,4,2100,2132.92381196144
"365","3 BHK Flat for Sale in Fusion The Brook, Greater Noida West, Greater Noida",7290000,"₹4750 per sqft ","","2000 sqft","Poss. by Jun '25","10 out of 24","Resale","West","Garden/Park","Freehold","1 Open",3,4,"Noida"," Fusion The Brook",4750,3,2000,1534.73684210526
"366","4 BHK Flat for Sale in DLF New Town Heights 2, Sector 86, Gurgaon",15000000,"₹6345 per sqft ","","1950 sqft","Ready to Move","10 out of 22","Resale","North","Garden/Park, Main Road","Freehold","2 Covered",4,5,"Gurgaon"," DLF New Town Heights 2",6345,4,1950,2364.06619385343
"367","1 BHK Flat for Sale in Pandav Nagar, Ghaziabad",2000000,"₹3419 per sqft ","","520 sqft","Ready to Move","3 out of 14","Resale","East","Garden/Park, Main Road","Leasehold","1 Covered",1,1,"Ghaziabad"," Pandav Nagar",3419,1,520,584.966364434045
"368","2 BHK Flat for Sale in Ansal East End, Tronica City, Ghaziabad",3200000,"₹2560 per sqft ","","1080 sqft","Ready to Move","5 out of 11","Resale","East","Garden/Park, Main Road","Freehold","1 Covered",2,1,"Ghaziabad"," Ansal East End",2560,2,1080,1250
"369","2 BHK Flat for Sale in Radha Kunj, Surya Nagar, Ghaziabad",2600000,"₹3059 per sqft ","","1560 sqft","Ready to Move","1 out of 3","Resale","North","Garden/Park","Leasehold","1 Covered,",2,3,"Ghaziabad"," Radha Kunj",3059,2,1560,849.95096436744
"370","1 BHK Flat for Sale in Radha Kunj, Surya Nagar, Ghaziabad",3200000,"₹7080 per sqft ","","995 sqft","Ready to Move","Ground out of 3","Resale","East","Main Road","Freehold","1 Covered",1,2,"Ghaziabad"," Radha Kunj",7080,1,995,451.977401129944
"371","4 BHK Flat for Sale in Safdarjung Development Area, Hauz Khas, New Delhi",105000000,"₹50000 per sqft ","","1100 sqft","Ready to Move","3 out of 4","New Property","North - East","Main Road","Freehold","1 Covered",4,2,"Delhi"," Safdarjung Development Area",50000,4,1100,2100
"372","3 BHK Flat for Sale in New Friends Colony, New Delhi",30000000,"₹18462 per sqft ","","6000 sqft","Ready to Move","4 out of 5","Resale","North - East","Garden/Park","Freehold","4 Covered,",3,2,"Delhi"," New Friends Colony",18462,3,6000,1624.9593760156
"373","1 BHK Flat for Sale in Lal Kuan, Ghaziabad",1580000,"₹2800 per sqft ","","1350 sqft","Ready to Move","1 out of 3","Resale","East","Garden/Park","Freehold","2 Covered,",1,2,"Ghaziabad"," Lal Kuan",2800,1,1350,564.285714285714
"374","3 BHK Flat for Sale in Sidhartha NCR One, Sector 95, Gurgaon",6500000,"₹4530 per sqft ","","","Ready to Move","1 out of 16","Resale","North","","Leasehold","",2,3,"Gurgaon"," Sidhartha NCR One",4530,3,NA,1434.87858719647
"375","3 BHK Flat for Sale in Mayfield Garden, Sector 51, Gurgaon",18000000,"₹7826 per sqft ","","","Poss. by Dec '23","3 out of 4","New Property","North","","Freehold","",3,3,"Gurgaon"," Mayfield Garden",7826,3,NA,2300.02555583951
"376","4 BHK Flat for Sale in Zeta 1, Greater Noida",12500000,"₹5388 per sqft ","","","Ready to Move","3 out of 11","Resale","North - East","","Freehold","",4,1,"Noida"," Zeta 1",5388,4,NA,2319.9703043801
"377","4 BHK Flat for Sale in Spring Homes, Greater Noida West, Greater Noida",16800000,"₹6000 per sqft ","","","Ready to Move","9 out of 13","New Property","","","Freehold","",4,8,"Noida"," Spring Homes",6000,4,NA,2800
"378","2 BHK Flat for Sale in Shree Vardhman Mantra, Sector 67, Gurgaon",5240000,"₹6545 per sqft ","","","Ready to Move","2 out of 4","New Property","","","","",2,3,"Gurgaon"," Shree Vardhman Mantra",6545,2,NA,800.61115355233
"379","2 BHK Flat for Sale in Vaishali Sector 4, Ghaziabad",4800000,"₹4174 per sqft ","","","Poss. by Dec '24","1 out of 4","Resale","","","","",2,NA,"Ghaziabad"," Vaishali Sector 4",4174,2,NA,1149.97604216579
"380","3 BHK Flat for Sale in Sector 57, Gurgaon",16900000,"₹10562 per sqft ","","","Poss. by Nov '23","23","New Property","","","","",3,NA,"Gurgaon"," Sector 57",10562,3,NA,1600.07574323045
"381","3 BHK Flat for Sale in Ivy County, Sector 75, Noida",21500000,"₹12983 per sqft ","","","Ready to Move","2 out of 18","New Property","","","","",3,NA,"Noida"," Ivy County",12983,3,NA,1656.01170761765
"382","2 BHK Flat for Sale in Ajnara Integrity, Raj Nagar Extension, Ghaziabad",5440000,"₹4969 per sqft ","","","Ready to Move","3 out of 4","New Property","","","","",2,NA,"Ghaziabad"," Ajnara Integrity",4969,2,NA,1094.78768363856
"383","3 BHK Flat for Sale in Prateek Laurel, Sector 120, Noida",9500000,"₹6859 per sqft ","","","Ready to Move","2 out of 3","Resale","","","","",2,NA,"Noida"," Prateek Laurel",6859,3,NA,1385.04155124654
"384","3 BHK Flat for Sale in Sushant Lok Phase 3, Sector 57, Golf Course Extension Road, Gurgaon",5020000,"₹5020 per sqft ","","","Ready to Move","2 out of 2","Resale","","","","",3,NA,"Gurgaon"," Sushant Lok Phase 3",5020,3,NA,1000
"386","4 BHK Flat for Sale in Ghata, Gurgaon",11000000,"₹7333 per sqft ","","","Ready to Move","2 out of 4","Resale","","","","",3,NA,"Gurgaon"," Ghata",7333,4,NA,1500.0681849175
"387","2 BHK Flat for Sale in Ghata, Gurgaon",11100000,"₹15634 per sqft ","","","Ready to Move","2 out of 5","Resale","","","","",2,NA,"Gurgaon"," Ghata",15634,2,NA,709.991045157989
"388","2 BHK Flat for Sale in Twin Celestial, Greater Noida West, Greater Noida",3200000,"₹3282 per sqft ","","","Ready to Move","2 out of 4","New Property","","","","",2,NA,"Noida"," Tw Celestial",3282,2,NA,975.015234613041
"389","5 BHK Flat for Sale in Greater Kailash 2, New Delhi",165000000,"₹23571 per sqft ","","","","","New Property","","","","",6,NA,"Delhi"," Greater Kailash 2",23571,5,NA,7000.12727504136
"390","3 BHK Flat for Sale in DDA Flats, Sarita Vihar Pocket J, New Delhi",12500000,"₹8621 per sqft ","","","","","Resale","","","","",2,NA,"Delhi"," DDA Flats",8621,3,NA,1449.94780187913
"391","2 BHK Flat for Sale in ACE City, Noida Extension, Noida",7000000,"₹6422 per sqft ","Northern Spaces","390 sqm","Ready to Move","2 out of 25","Resale","West","Main Road","Leasehold","1 Covered",2,2,"Noida"," ACE City",6422,2,390,1090.00311429461
"392","4 BHK Flat for Sale in Bestech Park View Spa Next, Sector 67, Sohna Road, Gurgaon",18500000,"₹7872 per sqft ","Neeraj & Co","1350 sqft","Ready to Move","8 out of 15","Resale","North - East","Garden/Park, Main Road","Leasehold","2 Covered,",4,NA,"Gurgaon"," Bestech Park View Spa Next",7872,4,1350,2350.10162601626
"393","3 BHK Flat for Sale in Bestech Park View Spa Next, Sector 67, Sohna Road, Gurgaon",18300000,"₹7445 per sqft ","HCO Real Estates","590 sqft","Ready to Move","3 out of 14","Resale","North - East","Garden/Park","Leasehold","1 Covered",4,2,"Gurgaon"," Bestech Park View Spa Next",7445,3,590,2458.02552048355
"395","> 10 BHK Villa for Sale in Sector 41, Dadri Road Noida",80000000,"₹18580 per sqft ","","3000 sqft","Ready to Move","1 out of 3","Resale","North - East","Garden/Park, Main Road","Freehold","2 Covered,",NA,1,"Noida"," Sector 41",18580,10,3000,4305.70505920344
"396","3 BHK Flat for Sale in DLF City Plot Phase 1, DLF City Phase 1, Gurgaon",15500000,"₹10333 per sqft ","","1200 sqft","Ready to Move","5 out of 23","Resale","North - East","Garden/Park","Freehold","2 Covered,",3,2,"Gurgaon"," DLF City Plot Phase 1",10333,3,1200,1500.0483886577
"397","2 BHK Flat for Sale in AIG Royal, Sector 1, Greater Noida",6200000,"₹5905 per sqft ","","800 sqft","Ready to Move","3 out of 4","New Property","North - East","Main Road","Co-operative Society","1 Open",2,2,"Noida"," AIG Royal",5905,2,800,1049.95766299746
"398","3 BHK Flat for Sale in Preet Vihar, New Delhi",18000000,"₹14286 per sqft ","","915 sqft","Ready to Move","9 out of 40","New Property","East","Garden/Park","Freehold","1 Covered,",2,2,"Delhi"," Preet Vihar",14286,3,915,1259.97480050399
"400","4 BHK Flat for Sale in Neeti Bagh, New Delhi",120000000,"₹4462 per sqft ","","1700 sqft","Ready to Move","5 out of 9","New Property","South - East","Pool, Garden/Park, Main Road","Freehold","1 Covered",5,4,"Delhi"," Neeti Bagh",4462,4,1700,26893.7696100403
"401","2 BHK Flat for Sale in Swarn Residency, Sahibabad, Ghaziabad",5800000,"₹6296 per sqft ","","1860 sqft","Ready to Move","1 out of 4","Resale","West","Garden/Park, Main Road","Freehold","1 Open",2,5,"Ghaziabad"," Swarn Residency",6296,2,1860,921.219822109276
"402","3 BHK Flat for Sale in Neeti Khand 1, Indirapuram, Ghaziabad",8500000,"₹5415 per sqft ","","1000 sqft","Ready to Move","8 out of 20","New Property","North - East","Garden/Park, Pool, Main Road","Freehold","2 Covered",2,4,"Ghaziabad"," Neeti Khand 1",5415,3,1000,1569.71375807941
"403","3 BHK Flat for Sale in Gaur City 2, Noida Extension, Noida",7500000,"₹4800 per sqft ","","890 sqft","Ready to Move","10 out of 11","Resale","North - West","Main Road, Garden/Park","Freehold","1 Covered",3,1,"Noida"," Gaur City 2",4800,3,890,1562.5
"404","3 BHK Flat for Sale in Rise Organic Ghar, Wave City, Ghaziabad",5400000,"₹6149 per sqft ","","1350 sqft","Ready to Move","4 out of 13","Resale","North - East","Garden/Park, Pool","Leasehold","2 Covered",2,1,"Ghaziabad"," Rise Organic Ghar",6149,3,1350,878.191575865994
"406","2 BHK Flat for Sale in Sector 62, NH 24, Noida",5600000,"₹10417 per sqft ","","","Ready to Move","1 out of 3","Resale","North - East","Garden/Park","Leasehold","10 Covered,",2,5,"Noida"," Sector 62",10417,2,NA,537.582797350485
"407","3 BHK Flat for Sale in Parmarth Apartment, Vikaspuri, New Delhi",12500000,"₹5682 per sqft ","","","Ready to Move","6 out of 15","Resale","North - East","Garden/Park","Freehold","1 Open",2,2,"Delhi"," Parmarth Apartment",5682,3,NA,2199.92960225273
"409","4 BHK Flat for Sale in DLF One Midtown, Moti Nagar, Kirti Nagar, New Delhi",90000000,"₹5789 per sqft ","","","Poss. by Mar '24","2 out of 2","New Property","East","Pool, Garden/Park, Main Road","Freehold","2 Covered",5,2,"Delhi"," DLF One Midtown",5789,4,NA,15546.7265503541
"410","3 BHK Flat for Sale in RWA Jalvayu Vihar, Sector 25, Noida",11000000,"₹9406 per sqft ","","","Ready to Move","10 out of 32","Resale","North - East","Pool, Garden/Park, Main Road","Freehold","",3,2,"Noida"," RWA Jalvayu Vihar",9406,3,NA,1169.46629810759
"411","3 BHK Flat for Sale in DLF The Primus, Sector 82A, Gurgaon",17100000,"₹11888 per sqft ","","","Ready to Move","19 out of 24","Resale","East","Garden/Park, Pool","Freehold","",3,5,"Gurgaon"," DLF The Primus",11888,3,NA,1438.42530282638
"412","4 BHK Flat for Sale in Jaypee Greens Kalypso Court, Sector 128, Noida Express Way, Noida",42500000,"₹5018 per sqft ","","","Ready to Move","3 out of 4","Resale","East","","Freehold","",4,2,"Noida"," Jaypee Greens Kalypso Court",5018,4,NA,8469.50976484655
"414","3 BHK Flat for Sale in Chittaranjan Park, New Delhi",20000000,"₹31000 per sqft ","","","Ready to Move","12 out of 12","New Property","","","","",3,3,"Delhi"," Chittaranjan Park",31000,3,NA,645.161290322581
"415","> 10 BHK Villa for Sale in Maharani Bagh, New Friends Colony New Delhi",310000000,"₹10577 per sqft ","","","Ready to Move","12 out of 30","Resale","","","","",NA,3,"Delhi"," Maharani Bagh",10577,10,NA,29308.8777536163
"416","2 BHK Flat for Sale in Eros Wembley Estate, Nirvana Country, Sector 50, Gurgaon",11000000,"₹57500 per sqft ","","","Ready to Move","19 out of 21","Resale","","","","",2,NA,"Gurgaon"," Eros Wembley Estate",57500,2,NA,191.304347826087
"417","2 BHK House for Sale in Rajendra Park Block C, Sector 105 Gurgaon",2990000,"₹12630 per sqft ","","","Ready to Move","13 out of 33","Resale","","","","",2,NA,"Gurgaon"," Rajendra Park Block C",12630,2,NA,236.73792557403
"418","4 BHK Flat for Sale in DLF Ultima Phase II, Sector 81, Gurgaon",36500000,"₹3871 per sqft ","","","Ready to Move","","Resale","","","","",3,NA,"Gurgaon"," DLF Ultima Phase II",3871,4,NA,9429.08809093258
"419","3 BHK Flat for Sale in Mahagun Mascot, Crossings Republik, Ghaziabad",6000000,"₹17000 per sqft ","","","Ready to Move","","Resale","","","","",3,NA,"Ghaziabad"," Mahagun Mascot",17000,3,NA,352.941176470588
